+----------------------------------------------------------------------------+
| Statistics from last 100 episodes:                                         |
|----------------------------------------------------------------------------|
| Episodes   | Time       | Mean Score     | Mean Max Tile  | Max Tile       |
|      35500 |     177.25 |       15665.72 |        1116.16 |           4096 |
|      35600 |     177.63 |       15669.05 |        1131.52 |           2048 |
|      35700 |     169.01 |       15668.67 |        1000.96 |           2048 |
|      35800 |     142.68 |       15667.57 |         980.48 |           2048 |
|      35900 |     193.13 |       15670.16 |        1100.80 |           2048 |
|      36000 |     181.48 |       15672.70 |        1095.68 |           2048 |
Model saved to td_agent_episode_ft36000.pkl
|      36100 |     331.99 |       15674.66 |        1085.44 |           2048 |
|      36200 |     168.14 |       15677.15 |        1111.04 |           2048 |
|      36300 |     159.35 |       15680.53 |        1131.52 |           4096 |
|      36400 |     170.65 |       15681.45 |        1049.60 |           2048 |
|      36500 |     180.72 |       15686.17 |        1182.72 |           4096 |
|      36600 |     172.86 |       15688.24 |        1116.16 |           2048 |
|      36700 |     171.82 |       15689.72 |        1080.32 |           4096 |
|      36800 |     179.48 |       15693.51 |        1105.92 |           2048 |
|      36900 |     201.72 |       15696.62 |        1126.40 |           4096 |
|      37000 |     154.18 |       15700.04 |        1105.92 |           2048 |
Model saved to td_agent_episode_ft37000.pkl
|      37100 |     332.91 |       15702.57 |        1113.60 |           2048 |
|      37200 |     211.35 |       15708.19 |        1192.96 |           2048 |
|      37300 |     150.65 |       15710.40 |        1121.28 |           4096 |
|      37400 |     201.57 |       15712.75 |        1123.84 |           2048 |
|      37500 |     175.01 |       15714.45 |        1088.00 |           2048 |
|      37600 |     183.32 |       15719.10 |        1159.68 |           2048 |
|      37700 |     159.70 |       15724.10 |        1128.96 |           2048 |
|      37800 |     178.72 |       15727.21 |        1134.08 |           2048 |
|      37900 |     181.42 |       15730.82 |        1108.48 |           2048 |
|      38000 |     180.18 |       15734.09 |        1116.16 |           2048 |
Model saved to td_agent_episode_ft38000.pkl
|      38100 |     356.56 |       15741.22 |        1223.68 |           2048 |
|      38200 |     172.27 |       15742.66 |        1108.48 |           4096 |
|      38300 |     177.68 |       15745.55 |        1111.04 |           2048 |
|      38400 |     176.93 |       15748.47 |        1135.36 |           2048 |
|      38500 |     172.06 |       15749.14 |        1040.64 |           2048 |
|      38600 |     180.83 |       15753.24 |        1146.88 |           4096 |
|      38700 |     173.76 |       15755.07 |        1113.60 |           4096 |
|      38800 |     183.52 |       15760.23 |        1187.84 |           2048 |
|      38900 |     178.87 |       15763.81 |        1154.56 |           4096 |
|      39000 |     174.97 |       15765.46 |        1093.12 |           2048 |
Model saved to td_agent_episode_ft39000.pkl
|      39100 |     338.85 |       15767.92 |        1095.68 |           2048 |
|      39200 |     186.77 |       15773.22 |        1180.16 |           2048 |
|      39300 |     187.28 |       15778.34 |        1154.56 |           2048 |
|      39400 |     178.37 |       15780.88 |        1103.36 |           4096 |
|      39500 |     173.79 |       15781.78 |        1062.40 |           4096 |
|      39600 |     169.81 |       15781.50 |        1044.48 |           2048 |
